Open5GS daemon v2.7.0-84-g94bd68a

02/22 12:28:31.600: [udr] WARNING: [imsi-999700000000014] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.601: [dbi] INFO: [imsi-999700000000036] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.601: [udr] WARNING: [imsi-999700000000036] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.605: [dbi] INFO: [imsi-999700000000047] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.605: [udr] WARNING: [imsi-999700000000047] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.606: [dbi] INFO: [imsi-999700000000051] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.606: [udr] WARNING: [imsi-999700000000051] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.609: [dbi] INFO: [imsi-999700000000042] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.610: [udr] WARNING: [imsi-999700000000042] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.610: [dbi] INFO: [imsi-999700000000049] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.610: [udr] WARNING: [imsi-999700000000049] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.611: [dbi] INFO: [imsi-999700000000057] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.611: [udr] WARNING: [imsi-999700000000057] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:33.716: [dbi] INFO: [imsi-999700000000091] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:33.716: [udr] WARNING: [imsi-999700000000091] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:33.726: [dbi] INFO: [imsi-999700000000099] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:33.726: [udr] WARNING: [imsi-999700000000099] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:33.727: [dbi] INFO: [imsi-999700000000077] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:33.727: [udr] WARNING: [imsi-999700000000077] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.779: [dbi] INFO: [imsi-999700000000099] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.780: [udr] WARNING: [imsi-999700000000099] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.791: [dbi] INFO: [imsi-999700000000094] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.791: [udr] WARNING: [imsi-999700000000094] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.791: [dbi] INFO: [imsi-999700000000095] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.791: [udr] WARNING: [imsi-999700000000095] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.792: [dbi] INFO: [imsi-999700000000097] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.792: [udr] WARNING: [imsi-999700000000097] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.793: [dbi] INFO: [imsi-999700000000093] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.793: [udr] WARNING: [imsi-999700000000093] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.793: [dbi] INFO: [imsi-999700000000076] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.793: [udr] WARNING: [imsi-999700000000076] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.794: [dbi] INFO: [imsi-999700000000070] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.794: [udr] WARNING: [imsi-999700000000070] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.794: [dbi] INFO: [imsi-999700000000087] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.794: [udr] WARNING: [imsi-999700000000087] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.794: [dbi] INFO: [imsi-999700000000083] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.794: [udr] WARNING: [imsi-999700000000083] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.801: [dbi] INFO: [imsi-999700000000072] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:32:35.801: [udr] WARNING: [imsi-999700000000072] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:32:35.980: [dbi] INFO: [imsi-999700000000090] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
